"Nombre","Distrito","Valoración","Número de comentarios","Precio","Fecha","Dirección","CP","lat","long"
"HOSTAL ABASTOS","Extramurs, Valencia",7.9,767,38,2022-07-31,"CALLE DE ALBERIQUE, 19, Valencia ",46008,39.466484,-0.3880924
"BIZZBEACH","Poblados marítimos, Valencia",8,206,37,2022-07-31,"CALLE DE IBIZA, 17, Valencia ",46024,39.4602115,-0.3399427
"HOSTAL ON DORMIRE VALENCIA","Quatre Carreres, Valencia",7.4,1458,27.5,2022-07-31,"CALLE DE RUBEN VELA, 23, Valencia ",46006,39.4555276,-0.3744368
"ZALAMERA BNB","Extramurs, Valencia",8.8,1009,79,2022-07-31,"CALLE DE PELAYO, 44, LA ROQUETA, Valencia ",46007,39.4655859,-0.3791324
"SWEET HOTEL RENASA","El Pla del Real, Valencia",8.1,3441,84,2022-07-31,"AVENIDA DE CATALUÑA, 5, Valencia ",46010,39.480567,-0.3529597
"PENSIÓN ALICANTE","Ciutat Vella, Valencia",8.2,1940,33,2022-07-31,"CALLE DE RIBERA, 2, Valencia ",46002,39.46888,-0.37586
"HOTEL TURIA","Campanar, Valencia",7.5,3045,97,2022-07-31,"CARRER DEL PROFESOR BELTRÁN BÁGUENA, 2, Valencia ",46009,39.4803567,-0.3890109
"HI VALENCIA CANOVAS","Eixample, Valencia",7.9,2214,67.5,2022-07-31,"CALLE DE CIRILO AMORÓS, 82, Valencia ",46004,39.4667056,-0.3729278
"B&B EL MERCAT","Ciutat Vella, Valencia",6.5,518,75,2022-07-31,"CARRER DEL PEU DE LA CREU, 5, Valencia ",46001,39.47302085,-0.380424803625504
"SWEET HOTEL CONTINENTAL","Ciutat Vella, Valencia",8.1,3174,86.5,2022-07-31,"CALLE DE CORREOS, 8, Valencia ",46002,39.4697061,-0.3745483
"EUROSTARS REY DON JAIME","Camins al Grau, Valencia",7.9,11638,127,2022-07-31,"AVENIDA BALEARES, 2, Valencia ",46023,39.4633945,-0.3566471
"HOSTAL BISBAL","Ciutat Vella, Valencia",7,272,42.5,2022-07-31,"CALLE PIE DE LA CRUZ, 9, Valencia ",46001,39.4732172,-0.38064
"ZENIT VALENCIA","Extramurs, Valencia",8.6,1863,110,2022-07-31,"CALLE DE BAILÉN, 8, LA ROQUETA, Valencia ",46007,39.4667681,-0.3780804
"ILUNION VALENCIA 3","Benicalap, Valencia",7.8,3027,117.5,2022-07-31,"CALLE DEL VALLE DE AYORA, 5, Valencia ",46015,39.4932582,-0.3991733
"HOTEL VALENCIA CENTER","Camins al Grau, Valencia",8.3,5514,114,2022-07-31,"AVENIDA DE FRANCIA, 33, GRAO, Valencia ",46023,39.46017,-0.34948
"CASUAL DE LA MÚSICA VALENCIA","Ciutat Vella, Valencia",7.1,2630,69,2022-07-31,"CALLE DE PADILLA, 4, Valencia ",46001,39.4701428,-0.3795473
"PORT FERIA VALENCIA","Poblados del Oeste, Valencia",8.1,3323,97,2022-07-31,"CARRER DE CULLERA, 67, Valencia ",46035,39.5041799,-0.4228127
